"","feature","enrich_group","ef_lda","pvalue","padj"
"marker24","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella","Healthy",3.93500881049064,0.00210752235240471,0.00210752235240471
"marker25","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella|s__Sutterella_s__","Healthy",3.93402417224934,0.00204430686110716,0.00204430686110716
"marker26","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_Bacteroides|s__Bacteroides uniformis","Healthy",3.89334295290841,0.00372993008224245,0.00372993008224245
"marker27","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_Ruminococcus","Healthy",3.88505370892675,0.0140211404198814,0.0140211404198814
"marker28","k__Bacteria|p__Tenericutes|c__Erysipelotrichi","Healthy",3.76776739771504,0.0154610794367161,0.0154610794367161
"marker29","k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichi_Erysipelotrichales","Healthy",3.76776739771504,0.0154610794367161,0.0154610794367161
"marker30","k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichi_Erysipelotrichales|f__Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae","Healthy",3.76776739771504,0.0154610794367161,0.0154610794367161
"marker31","k__Bacteria|p__Tenericutes","Healthy",3.7512123714229,0.0197073894477164,0.0197073894477164
"marker32","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae","Healthy",3.73106880330173,0.00164397561786844,0.00164397561786844
"marker33","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_f__","Healthy",3.7074734476591,0.000533344018697472,0.000533344018697472
"marker34","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_f__|g__Clostridiales_f___g__","Healthy",3.7074734476591,0.000533344018697472,0.000533344018697472
"marker35","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_f__|g__Clostridiales_f___g__|s__Clostridiales_f___g___s__","Healthy",3.7074734476591,0.000533344018697472,0.000533344018697472
"marker36","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes","Healthy",3.70596062836035,0.00200656822538253,0.00200656822538253
"marker37","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_s__","Healthy",3.70596062836035,0.00200656822538253,0.00200656822538253
"marker38","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides distasonis","Healthy",3.63424338806244,0.015160045624977,0.015160045624977
"marker39","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_Eubacterium","Healthy",3.6175118532396,0.00471044188428174,0.00471044188428174
"marker40","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_Eubacterium|s__Lachnospiraceae_Eubacterium_s__","Healthy",3.6175118532396,0.00471044188428174,0.00471044188428174
"marker41","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_Ruminococcus|s__Ruminococcus gnavus","Healthy",3.58023183796683,0.0078181983982257,0.0078181983982257
"marker42","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira","Healthy",3.52661536186098,0.00879975977481615,0.00879975977481615
"marker43","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira|s__Oscillospira_s__","Healthy",3.52661536186098,0.00879975977481615,0.00879975977481615
